PromQL,Read Response
"round(deriv(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[30s:5s]))","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]}]}}"
"histogram_quantile(0.9, rate(prometheus_http_request_duration_seconds_bucket{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[10m]))","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""2.000000000000001""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0.09000000000000001""]}]}}"
"histogram_quantile(0.9, sum by (job, le) (rate(prometheus_http_request_duration_seconds_bucket{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[10m])))","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""job"":""prometheus""},""value"":[1604605150,""0.8111111111111113""]}]}}"
"histogram_quantile(0.9, sum by (le) (rate(prometheus_http_request_duration_seconds_bucket{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[10m])))","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{},""value"":[1604605150,""0.8111111111111113""]}]}}"
"holt_winters(prometheus_http_request_duration_seconds_bucket{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[1h], 0.5, 0.5)","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""+Inf""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.1""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.2""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.4""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""1""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""120""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""20""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""3""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""60""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""8""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""+Inf""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.1""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.2""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.4""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""1""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""120""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""20""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""3""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""60""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""8""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""+Inf""},""value"":[1604605150,""7.80976472646671""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.1""},""value"":[1604605150,""0.029462333756782755""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.2""},""value"":[1604605150,""0.029462333756782755""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.4""},""value"":[1604605150,""1.993069645005562""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""1""},""value"":[1604605150,""5.940009108192498""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""120""},""value"":[1604605150,""7.80976472646671""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""20""},""value"":[1604605150,""7.80976472646671""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""3""},""value"":[1604605150,""7.80976472646671""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""60""},""value"":[1604605150,""7.80976472646671""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""8""},""value"":[1604605150,""7.80976472646671""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""+Inf""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.1""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.2""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.4""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""1""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""120""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""20""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""3""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""60""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""8""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""+Inf""},""value"":[1604605150,""12.103487372398376""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.1""},""value"":[1604605150,""12.103487372398376""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.2""},""value"":[1604605150,""12.103487372398376""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.4""},""value"":[1604605150,""12.103487372398376""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""1""},""value"":[1604605150,""12.103487372398376""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""120""},""value"":[1604605150,""12.103487372398376""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""20""},""value"":[1604605150,""12.103487372398376""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""3""},""value"":[1604605150,""12.103487372398376""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""60""},""value"":[1604605150,""12.103487372398376""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""8""},""value"":[1604605150,""12.103487372398376""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""+Inf""},""value"":[1604605150,""2""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.1""},""value"":[1604605150,""2""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.2""},""value"":[1604605150,""2""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.4""},""value"":[1604605150,""2""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""1""},""value"":[1604605150,""2""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""120""},""value"":[1604605150,""2""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""20""},""value"":[1604605150,""2""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""3""},""value"":[1604605150,""2""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""60""},""value"":[1604605150,""2""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""8""},""value"":[1604605150,""2""]}]}}"
"hour(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]}]}}"
"idelta(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[1h])","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""1""]},{""metric"":{""code"":""200"",""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""302"",""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]}]}}"
"increase(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[1h])","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""18.989752660211384""]},{""metric"":{""code"":""200"",""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""20.612920737293834""]},{""metric"":{""code"":""200"",""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""302"",""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]}]}}"
"irate(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[1h])","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0.06666666666666667""]},{""metric"":{""code"":""200"",""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""302"",""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]}]}}"
"label_join(prometheus_http_requests_total{job=""prometheus"", timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}, ""des"", ""handler"", ""job"")","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""des"":""prometheus"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""8""]},{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""des"":""prometheus"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""12""]}]}}"
"label_replace(prometheus_http_requests_total{instance=""localhost:9090"", timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}, ""port"", ""$1"", ""instance"", "".*:(.*)"")","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""port"":""9090""},""value"":[1604605150,""8""]},{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""port"":""9090""},""value"":[1604605150,""12""]}]}}"
"ln(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""2.0794415416798357""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""2.4849066497880004""]}]}}"
"log2(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""3""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""3.584962500721156""]}]}}"
"log10(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0.9030899869919435""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""1.0791812460476249""]}]}}"
"minute(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]}]}}"
"month(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""1""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""1""]}]}}"
